,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
158,0.003268146514892578,0.00041710479961511453,0.002347993850708008,0.00037298975187670397,3,6,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
316,0.0034227371215820312,0.0004497155620191535,0.002373147010803223,0.00022903926347758396,6,6,linear,2000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
315,0.003864097595214844,0.0005414885884525543,0.002853703498840332,0.0006939767418187709,6,6,linear,1000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
212,0.0035080194473266603,0.0005622537354872286,0.002553510665893555,0.000646556502371269,4,6,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
90,0.0019468069076538086,0.0001956549860907018,0.0014070987701416016,0.00017029719569764797,2,5,linear,1000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
247,0.003089141845703125,0.0001934986387023284,0.002198481559753418,0.0002089139299621045,5,4,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
88,0.002157735824584961,0.00019954925214568306,0.0014470338821411133,9.13501058065958e-05,2,4,poly,2000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
308,0.002795696258544922,0.00021614313587157283,0.0020564794540405273,0.00024008768080711857,6,5,linear,3000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
309,0.003324151039123535,0.0006559285032169862,0.0029137134552001953,0.0013325314249253864,6,5,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
266,0.005570101737976074,0.0014166788838534982,0.0035872697830200196,0.0007988860890180649,5,6,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
265,0.005107951164245605,0.0011424588683831794,0.003471517562866211,0.0007076834163373115,5,6,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
264,0.004927635192871094,0.0015394401894726888,0.003682065010070801,0.0011743468097725307,5,6,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
294,0.00971531867980957,0.0015928804044610793,0.007616353034973144,0.001270162976609664,6,3,poly,1000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
89,0.002084636688232422,0.00017419619769554702,0.001474142074584961,0.00014658004491423628,2,4,poly,3000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
307,0.0030878305435180662,0.0003585315262692844,0.002206301689147949,0.0003253855229428886,6,5,linear,2000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
295,0.008138537406921387,0.001084830206525357,0.006356620788574218,0.001121932011378696,6,3,poly,2000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
310,0.004185771942138672,0.0007503293159867962,0.0029279232025146485,0.0006585656599392086,6,5,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
257,0.0026290416717529297,0.0003697257387423464,0.0018815994262695312,0.0004362777664346714,5,5,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
256,0.0025182247161865236,0.00018964605096695404,0.0017486333847045899,0.0001632875935124268,5,5,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
297,0.005140089988708496,0.0008414561090421134,0.003767657279968262,0.0002898212373940558,6,4,linear,1000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
